Epoch,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Validation Loss,Validation Accuracy,Validation Precision,Validation Recall,Validation F1 Score
1,0.23614986740544902,92.4300336874838,0.9241731515698492,0.924244443973378,0.9241841422488223,0.10998656808092079,96.49520601192019,0.9650946733218658,0.9646342617740632,0.9647111038709522
2,0.11522134597089934,96.22959315884944,0.9621590948735881,0.9621752037573361,0.9621641161767273,0.10690189270239023,96.51464109873024,0.9640552120673489,0.9664632526580795,0.9644259417495
3,0.09015611946761339,97.00051826898161,0.969944601353951,0.9699419756074504,0.9699411076934626,0.08776737828584731,97.143042238922,0.9714479833910443,0.9715946365344124,0.9714570569499187
5,0.06424107109256803,97.84432495465147,0.9784889653323082,0.9784924844240499,0.9784897494537774,0.040072364755339755,98.6784140969163,0.9861425722335605,0.987250919598647,0.9866685543045765
6,0.05773114689364619,98.09536149261467,0.9810014339391309,0.9810077126907744,0.9810034287584242,0.04204060041916163,98.568281938326,0.9856838660486859,0.985180827296311,0.9854198165015493
7,0.05007869237834839,98.29942990412025,0.9829438464043047,0.9829398067078627,0.9829391932536802,0.049413685851958655,98.40632288157553,0.9839838189087884,0.9840071568194715,0.9838859627171688
8,0.045654093987583494,98.51321585903084,0.9851193080582524,0.9851125653916891,0.9851152488959198,0.04343704018401036,98.6784140969163,0.9863412705906094,0.9860142317591113,0.986096421262278
9,0.04181806407178212,98.62010883648614,0.9862152748953754,0.9862143662353565,0.986214466620805,0.061274514882283006,98.00466442083442,0.9804289856617103,0.9808425535026335,0.9804989726281875
10,0.040669035316394264,98.64926146670122,0.9864857868798134,0.9864680342845884,0.9864762566101786,0.03181522601275892,98.95050531225706,0.9892188875697001,0.9895006947289152,0.9893536876421033
11,0.03597586839101317,98.71890386110391,0.987215236372748,0.9872210107652903,0.9872178813979436,0.05670159939691226,98.01114278310443,0.9805645152826621,0.9790502771515828,0.9795480642736822
12,0.033457860402155024,98.86952578388184,0.9887139926722528,0.9887078130788676,0.9887106868776362,0.044522299928078234,98.45167141746566,0.9839081979634595,0.9834146438766691,0.9835733144165704
13,0.03407456428211057,98.90029800466442,0.9889723730123633,0.9889639377985594,0.988967644626696,0.036981393969467743,98.77558953096657,0.9878763518101432,0.9876236628105625,0.987739052466575
14,0.030003037633682863,99.01204975382224,0.9901165955279768,0.9901199581277026,0.9901179388214696,0.03960813372049835,98.68489245918632,0.9870799319546426,0.9864987145882242,0.9867445949774629
15,0.028641330483646997,99.09302928219746,0.9909497270634642,0.9909446223540035,0.9909469615426245,0.037188178555348846,98.8922000518269,0.9885688528825879,0.9887241359959607,0.9886332515176822
16,0.027912170606966304,99.03310443119979,0.990285319779513,0.9902933082856641,0.9902891255279427,0.04836105824665302,98.568281938326,0.9857433485531845,0.9850272086303085,0.9853488029110073
17,0.027339008172442128,99.06063747084737,0.9905833768090884,0.9905850725421916,0.99058381943985,0.04504745869969192,98.52293340243587,0.9850006514278026,0.985694308908685,0.9853186945448478
18,0.026657037406972835,99.15943249546514,0.9915790227709425,0.9915769668449163,0.9915777747179811,0.03234681490423898,98.89867841409692,0.9888314441041332,0.9886479583921397,0.9887288459950088
19,0.023866368672006595,99.18696553511272,0.9919074058831571,0.9918988734557794,0.9919028237853923,0.032109382531529465,99.04120238403732,0.9901456129461688,0.9899822333682697,0.9900492347818175
20,0.023881485353140212,99.20640062192278,0.9920711546791274,0.9920661215509939,0.9920681219406282,0.026594201172467767,99.15133454262762,0.9912494709879088,0.9914185979789535,0.9913296736950499
21,0.024450905468119077,99.14971495206012,0.9915183931375863,0.9915191990714922,0.9915185778556942,0.0340050329582642,98.90515677636694,0.9893641794503334,0.9880155713787947,0.988646803518153
22,0.022639072152963784,99.2468903861104,0.9924804755138033,0.9924788901865047,0.9924795098121747,0.03260647332022573,98.931070225447,0.9889890120801184,0.9892101815582974,0.9890518630738191
23,0.022775583192375864,99.20802021249028,0.9920676524171268,0.9920731111638587,0.9920698987507737,0.03111276470428971,99.02176729722726,0.9899565648958841,0.9903999454774041,0.9901622863585255
24,0.021132165603226196,99.30843482767557,0.9931004021340161,0.9930969578248285,0.9930984671161934,0.029995462498382662,98.97641876133713,0.9899875955796846,0.9890691754658449,0.9894904839762125
25,0.021419163420910433,99.27118424462296,0.992693265274892,0.992688108106779,0.9926905252300643,0.028147323205112925,99.06711583311738,0.9903884657200077,0.9907708331483701,0.9905583716637268
26,0.01971567202380229,99.33758745789065,0.9933775045285511,0.9933769672869831,0.9933770765572562,0.08012714358957727,97.86214045089402,0.9807777835589664,0.9780047769466785,0.978811113843804
27,0.020778817766047987,99.23393366157036,0.992348163055829,0.9923515281989208,0.9923496209580533,0.026322927197828788,99.08655091992745,0.990700101207323,0.9907833348484725,0.9907212211479859
28,0.0178844725159539,99.39913189945582,0.9939935700834384,0.9939920573347631,0.9939926935272295,0.048667845624495346,98.568281938326,0.9853043697170456,0.9856460879353445,0.9853965560632959
29,0.019949185508927644,99.34892459186318,0.9934689373984474,0.9934695694922815,0.9934690510633898,0.04025577631139454,98.65897901010625,0.9869957883561388,0.9864973324983419,0.986618412579537
30,0.020641508673642246,99.32625032391812,0.9932505352493918,0.9932571171181479,0.9932535107225008,0.028989034383411313,99.09950764446748,0.9906297438079061,0.9909607918517143,0.9907875185642276
31,0.017435243616746636,99.39751230888831,0.9939888071717472,0.9939907253494389,0.9939897011239687,0.02981401233765698,99.09950764446748,0.9908583416339484,0.9908968782162264,0.9908609413110641
32,0.018322480130717533,99.36026172583571,0.9936042958238427,0.9936036312396459,0.9936039190449938,0.1442288082324221,98.84685151593678,0.9883354690324619,0.9885933883428726,0.9884402876066696
33,0.01748883642650905,99.39913189945582,0.9940020092021266,0.9940011371314694,0.9940013062765696,0.031869867476250695,99.1059860067375,0.9910163093176781,0.9913008499789654,0.9911432769565578
34,0.017276352768228156,99.4315237108059,0.9943352048897572,0.9943353057812006,0.9943351021960338,0.1990388317212527,98.05001295672454,0.9809952525332375,0.9800969722388313,0.9800078853902328
35,0.01613132000211738,99.47849183726353,0.9948124130552611,0.99480978156078,0.9948109896636486,0.09475033938147898,98.63954392329619,0.9850372084033643,0.9864654047705316,0.9856513956029404
36,0.017397131069163227,99.40722985229334,0.9940781859942481,0.9940735899812753,0.9940756750361444,0.024519036134240703,99.1448561803576,0.9914720416099969,0.9913454459540463,0.9913938866561202
37,0.016892429811197703,99.41694739569837,0.9941630354279395,0.9941659375712005,0.9941644343822679,0.02675051870801232,99.15133454262762,0.9917383027872552,0.9913643502471623,0.9915347034576291
38,0.01782285957288015,99.40561026172584,0.9940720358910122,0.9940683141771685,0.9940701096636008,0.027239828737092502,99.13189945581757,0.9918107798457986,0.9908228806267214,0.9912945158112509
39,0.014278532346884159,99.52384037315366,0.995218874463099,0.9952253763451034,0.9952216470155837,0.10490263916797793,98.5034983156258,0.9844527766792349,0.9860461877898484,0.9851149926251086
40,0.014202333901453295,99.51412282974864,0.9951384341301749,0.9951400573871378,0.9951391022343812,0.025290271976629197,99.18372635397772,0.9918110592422332,0.9917563665240338,0.9917800873751472
41,0.016436977720032216,99.47525265612853,0.9947539591163898,0.9947554282921077,0.9947546599272938,0.04818969822469096,98.52293340243587,0.9853137237231508,0.9846488432323244,0.984888921526118
42,0.01477121915711721,99.51250323918113,0.9951244451760295,0.9951245803633443,0.9951241830472719,0.02631481983590669,99.19020471624773,0.9915380879883213,0.991969010818583,0.9917377608213285
43,0.016452954825951323,99.44933920704845,0.9944691328375589,0.9944655641466659,0.9944672559950818,0.08121043956435975,98.40632288157553,0.9825146153656572,0.9855400589000488,0.9838178565789423
44,0.013795296225924769,99.56433013734129,0.9956306847674095,0.9956319083847611,0.9956311635994517,0.05592439238374575,98.88572168955687,0.9891695802824303,0.9882672657670203,0.9886732569380313
